User-Journey,age_group,language_preferred,Journey Number,Journey Start Date,Journey End Date,Events Combo,# of Touchpoints,Journey Duration,Conversion,Email,Facebook,House Ads,Instagram,Push
a100002819-1,55+ years,English,1,2018-01-25,2018-01-25,House Ads,1,0,0,0,0,1,0,0
a100004382-1,45-55 years,English,1,2018-01-17,2018-01-27,"Facebook, House Ads",2,10,0,0,1,1,0,0
a100004162-1,24-30 years,English,1,2018-01-11,2018-01-11,Push,1,0,0,0,0,0,0,1
a100005292-1,45-55 years,English,1,2018-01-19,2018-01-19,Instagram,1,0,0,0,0,0,1,0
a100007023-1,0-18 years,English,1,2018-01-11,2018-01-11,House Ads,1,0,0,0,0,1,0,0
a100004590-1,30-36 years,English,1,2018-01-23,2018-01-26,"Facebook, House Ads",2,3,0,0,1,1,0,0
a100000665-1,0-18 years,English,1,2018-01-15,2018-01-15,Conversion,0,0,1,0,0,0,0,0
a100002853-1,30-36 years,English,1,2018-01-30,2018-01-30,Push,1,0,0,0,0,0,0,1
a100002718-1,24-30 years,English,1,2018-01-10,2018-01-10,House Ads,1,0,0,0,0,1,0,0
a100001476-1,45-55 years,English,1,2018-01-19,2018-01-19,Facebook,1,0,0,0,1,0,0,0
a100007273-1,19-24 years,German,1,2018-01-16,2018-01-16,Conversion,0,0,1,0,0,0,0,0
a100003128-1,30-36 years,English,1,2018-01-07,2018-01-07,Instagram,1,0,0,0,0,0,1,0
a100003865-1,55+ years,English,1,2018-01-15,2018-01-15,Email,1,0,0,1,0,0,0,0
a100002870-1,24-30 years,English,1,2018-01-01,2018-01-01,Facebook,1,0,0,0,1,0,0,0
a100000488-1,30-36 years,English,1,2018-01-25,2018-01-25,Instagram,1,0,0,0,0,0,1,0
a100001643-1,36-45 years,English,1,2018-01-12,2018-01-12,Push,1,0,0,0,0,0,0,1
a100005900-1,30-36 years,English,1,2018-01-03,2018-01-15,"Email, Instagram",2,12,0,1,0,0,1,0
a100000319-1,19-24 years,Spanish,1,2018-01-12,2018-01-12,"Conversion, House Ads",1,0,1,0,0,1,0,0
a100001145-2,19-24 years,English,2,2018-01-03,2018-01-03,House Ads,1,0,0,0,0,1,0,0
a100001651-1,0-18 years,English,1,2018-01-13,2018-01-13,Push,1,0,0,0,0,0,0,1
a100006704-1,30-36 years,English,1,2018-01-16,2018-01-16,Facebook,1,0,0,0,1,0,0,0
a100002737-1,19-24 years,English,1,2018-01-13,2018-01-13,Facebook,1,0,0,0,1,0,0,0
a100006048-1,45-55 years,English,1,2018-01-30,2018-01-30,House Ads,1,0,0,0,0,1,0,0
a100006808-1,24-30 years,English,1,2018-01-05,2018-01-31,"Facebook, Push",2,26,0,0,1,0,0,1
a100007133-1,19-24 years,German,1,2018-01-22,2018-01-22,House Ads,1,0,0,0,0,1,0,0
a100003070-1,19-24 years,English,1,2018-01-30,2018-01-30,Push,1,0,0,0,0,0,0,1
a100000365-1,30-36 years,English,1,2018-01-16,2018-01-16,"Conversion, House Ads",1,0,1,0,0,1,0,0
a100007173-1,55+ years,English,1,2018-01-20,2018-01-20,Instagram,1,0,0,0,0,0,1,0
a100005996-1,24-30 years,English,1,2018-01-17,2018-01-17,Instagram,1,0,0,0,0,0,1,0
a100002365-1,0-18 years,Spanish,1,2018-01-21,2018-01-21,Instagram,1,0,0,0,0,0,1,0
a100003777-1,24-30 years,English,1,2018-01-15,2018-01-15,Email,1,0,0,1,0,0,0,0
a100001675-1,0-18 years,English,1,2018-01-16,2018-01-16,Push,1,0,0,0,0,0,0,1
a100001592-1,19-24 years,English,1,2018-01-04,2018-01-04,House Ads,1,0,0,0,0,1,0,0
a100004225-1,24-30 years,Arabic,1,2018-01-20,2018-01-20,House Ads,1,0,0,0,0,1,0,0
a100004680-1,24-30 years,English,1,2018-01-08,2018-01-08,House Ads,1,0,0,0,0,1,0,0
a100004013-1,0-18 years,English,1,2018-01-15,2018-01-15,Instagram,1,0,0,0,0,0,1,0
a100004781-1,45-55 years,English,1,2018-01-28,2018-01-28,Instagram,1,0,0,0,0,0,1,0
a100003542-1,55+ years,English,1,2018-01-04,2018-01-04,Push,1,0,0,0,0,0,0,1
a100001060-1,19-24 years,English,1,2018-01-06,2018-01-06,Conversion,0,0,1,0,0,0,0,0
a100001285-1,45-55 years,English,1,2018-01-23,2018-01-23,Conversion,0,0,1,0,0,0,0,0
a100003785-1,30-36 years,English,1,2018-01-15,2018-01-15,Email,1,0,0,1,0,0,0,0
a100000065-1,19-24 years,English,1,2018-01-01,2018-01-03,"Conversion, House Ads",1,2,1,0,0,1,0,0
a100005697-1,36-45 years,English,1,2018-01-31,2018-01-31,House Ads,1,0,0,0,0,1,0,0
a100003562-1,19-24 years,English,1,2018-01-07,2018-01-07,House Ads,1,0,0,0,0,1,0,0
a100005875-1,55+ years,English,1,2018-01-15,2018-01-31,"Email, Facebook",2,16,0,1,1,0,0,0
a100002105-1,36-45 years,English,1,2018-01-16,2018-01-16,House Ads,1,0,0,0,0,1,0,0
a100002943-1,55+ years,English,1,2018-01-12,2018-01-12,House Ads,1,0,0,0,0,1,0,0
a100006727-1,45-55 years,English,1,2018-01-19,2018-01-19,Facebook,1,0,0,0,1,0,0,0
a100005224-1,0-18 years,English,1,2018-01-09,2018-01-09,House Ads,1,0,0,0,0,1,0,0
a100002703-1,45-55 years,English,1,2018-01-08,2018-01-08,House Ads,1,0,0,0,0,1,0,0
a100005866-1,36-45 years,English,1,2018-01-15,2018-01-30,"Email, Push",2,15,0,1,0,0,0,1
a100004016-1,30-36 years,Spanish,1,2018-01-16,2018-01-16,House Ads,1,0,0,0,0,1,0,0
a100004817-1,55+ years,English,1,2018-01-02,2018-01-02,House Ads,1,0,0,0,0,1,0,0
a100001970-1,19-24 years,Spanish,1,2018-01-27,2018-01-27,House Ads,1,0,0,0,0,1,0,0
a100001716-1,45-55 years,English,1,2018-01-22,2018-01-22,Facebook,1,0,0,0,1,0,0,0
a100005726-1,45-55 years,English,1,2018-01-04,2018-01-04,Facebook,1,0,0,0,1,0,0,0
a100004556-1,36-45 years,English,1,2018-01-16,2018-01-31,"House Ads, Instagram",2,15,0,0,0,1,1,0
a100005806-1,19-24 years,English,1,2018-01-16,2018-01-16,Facebook,1,0,0,0,1,0,0,0
a100002656-1,45-55 years,English,1,2018-01-01,2018-01-01,Facebook,1,0,0,0,1,0,0,0
a100003807-1,36-45 years,English,1,2018-01-15,2018-01-15,Email,1,0,0,1,0,0,0,0
a100004215-1,55+ years,English,1,2018-01-19,2018-01-19,House Ads,1,0,0,0,0,1,0,0
a100000264-1,24-30 years,German,1,2018-01-08,2018-01-08,Conversion,0,0,1,0,0,0,0,0
a100006264-1,36-45 years,English,1,2018-01-04,2018-01-04,House Ads,1,0,0,0,0,1,0,0
a100006831-1,36-45 years,English,1,2018-01-09,2018-01-09,Facebook,1,0,0,0,1,0,0,0
a100003952-1,24-30 years,English,1,2018-01-06,2018-01-06,House Ads,1,0,0,0,0,1,0,0
a100004560-1,19-24 years,Spanish,1,2018-01-14,2018-01-14,House Ads,1,0,0,0,0,1,0,0
a100000380-1,36-45 years,English,1,2018-01-31,2018-01-31,"Conversion, House Ads",1,0,1,0,0,1,0,0
a100001009-1,45-55 years,English,1,2018-01-06,2018-01-14,"Facebook, House Ads",2,8,0,0,1,1,0,0
a100001894-1,30-36 years,English,1,2018-01-13,2018-01-17,"House Ads, Instagram",2,4,0,0,0,1,1,0
a100005990-1,30-36 years,English,1,2018-01-16,2018-01-16,Facebook,1,0,0,0,1,0,0,0
a100001719-1,24-30 years,English,1,2018-01-23,2018-01-23,Facebook,1,0,0,0,1,0,0,0
a100003804-1,19-24 years,English,1,2018-01-15,2018-01-15,Email,1,0,0,1,0,0,0,0
a100005694-1,19-24 years,English,1,2018-01-31,2018-01-31,"Facebook, Push",2,0,0,0,1,0,0,1
a100001422-1,45-55 years,English,1,2018-01-11,2018-01-11,Instagram,1,0,0,0,0,0,1,0
a100006269-1,24-30 years,English,1,2018-01-05,2018-01-05,House Ads,1,0,0,0,0,1,0,0
a100005834-1,19-24 years,English,1,2018-01-20,2018-01-20,Push,1,0,0,0,0,0,0,1
a100004364-1,19-24 years,English,1,2018-01-09,2018-01-14,"House Ads, Instagram",2,5,0,0,0,1,1,0
a100003754-1,19-24 years,English,1,2018-01-03,2018-01-03,Facebook,1,0,0,0,1,0,0,0
a100006593-1,36-45 years,English,1,2018-01-31,2018-01-31,House Ads,1,0,0,0,0,1,0,0
a100000331-1,0-18 years,English,1,2018-01-10,2018-01-24,"Conversion, House Ads",1,14,1,0,0,1,0,0
a100001161-1,19-24 years,English,1,2018-01-05,2018-01-05,"Conversion, Instagram",1,0,1,0,0,0,1,0
a100005197-1,19-24 years,English,1,2018-01-05,2018-01-05,Instagram,1,0,0,0,0,0,1,0
a100003118-1,24-30 years,English,1,2018-01-05,2018-01-05,House Ads,1,0,0,0,0,1,0,0
a100005700-1,0-18 years,English,1,2018-01-31,2018-01-31,Instagram,1,0,0,0,0,0,1,0
a100003505-1,0-18 years,English,1,2018-01-30,2018-01-30,Instagram,1,0,0,0,0,0,1,0
a100005890-1,0-18 years,English,1,2018-01-02,2018-01-15,"Email, Push",2,13,0,1,0,0,0,1
a100003684-1,55+ years,English,1,2018-01-08,2018-01-08,House Ads,1,0,0,0,0,1,0,0
a100006856-1,19-24 years,English,1,2018-01-12,2018-01-12,Push,1,0,0,0,0,0,0,1
a100006263-1,30-36 years,English,1,2018-01-04,2018-01-04,House Ads,1,0,0,0,0,1,0,0
a100001482-1,45-55 years,English,1,2018-01-20,2018-01-20,House Ads,1,0,0,0,0,1,0,0
a100000620-1,24-30 years,English,1,2018-01-22,2018-01-22,"Conversion, Facebook",1,0,1,0,1,0,0,0
a100001407-1,24-30 years,English,1,2018-01-09,2018-01-09,Facebook,1,0,0,0,1,0,0,0
a100000027-1,0-18 years,English,1,2018-01-17,2018-01-17,Push,1,0,0,0,0,0,0,1
a100001717-1,0-18 years,English,1,2018-01-22,2018-01-22,Instagram,1,0,0,0,0,0,1,0
a100001848-1,45-55 years,English,1,2018-01-10,2018-01-10,House Ads,1,0,0,0,0,1,0,0
a100002032-1,30-36 years,English,1,2018-01-05,2018-01-05,House Ads,1,0,0,0,0,1,0,0
